,Name,Yr,Pos,G,TFL,TFL Yards,TFL/G
1,Rolando McClain,JR,LB,14,14,62,1
2,Eryk Anders,SR,LB,14,13.5,73,0.96
3,Javier Arenas,SR,DB,13,11,75,0.85
4,Marcell Dareus,SO,DL,14,9,49,0.64
5,Cory Reamer,SR,LB,14,7,30,0.5
6,Terrence Cody,SR,DL,14,6,11,0.43
7,Lorenzo Washington,SR,DL,14,5,27,0.36
8,Nico Johnson,FR,LB,12,4.5,18,0.38
9,Brandon Deaderick,SR,DL,14,4.5,9,0.32
10,Dont'a Hightower,SO,LB,4,4,7,1
11,Mark Barron,SO,DB,14,3.5,18,0.25
12,Kareem Jackson,JR,DB,14,3,13,0.21
13,Justin Woodall,SR,DB,14,2.5,11,0.18
14,Josh Chapman,SO,DL,13,2.5,2,0.19
15,Tyrone King,SR,DB,14,1.5,10,0.11
16,Luther Davis,JR,DL,14,1.5,6,0.11
17,Marquis Johnson,SR,DB,14,1,3,0.07
18,Courtney Upshaw,SO,LB,14,1,1,0.07
19,Damion Square,FR,DL,2,0.5,1,0.25
20,Team,,,7,0.5,1,0.07
,Total,,,14,96,427,6.86
,Opponents,,,14,66,222,4.71
