,Name,Yr,Pos,G,Sacks,Sack Yards,Sacks/G
1,Marcell Dareus,SO,DL,14,6.5,44,0.46
2,Javier Arenas,SR,DB,13,5,53,0.39
3,Eryk Anders,SR,LB,14,5,46,0.36
4,Rolando McClain,JR,LB,14,4,36,0.29
5,Lorenzo Washington,SR,DL,14,2,19,0.14
6,Cory Reamer,SR,LB,14,2,17,0.14
7,Tyrone King,SR,DB,14,1.5,10,0.11
8,Nico Johnson,FR,LB,12,1,15,0.08
9,Dont'a Hightower,SO,LB,4,1,4,0.25
10,Brandon Deaderick,SR,DL,14,1,2,0.07
11,Courtney Upshaw,SO,LB,14,1,1,0.07
12,Mark Barron,SO,DB,14,0.5,2,0.04
13,Josh Chapman,SO,DL,13,0.5,1,0.04
,Total,,,14,31,250,2.21
,Opponents,,,14,20,112,1.43
