,Name,Yr,Pos,G,TFL,TFL Yards,TFL/G
1,Ndamukong Suh,SR,DT,14,20.5,93,1.46
2,Jared Crick,SO,DT,14,12.5,63,0.89
3,Barry Turner,SR,DE,14,12,50,0.86
4,Phillip Dillard,SR,LB,12,10.5,45,0.88
5,Pierre Allen,JR,DE,14,8.5,55,0.61
6,Eric Hagg,JR,S,14,6.5,32,0.46
7,Cameron Meredith,FR,DE,14,4.5,18,0.32
8,Prince Amukamara,JR,CB,14,3,13,0.21
9,Dejon Gomes,JR,CB,13,3,7,0.23
10,Alfonzo Dennard,SO,CB,13,3,6,0.23
11,Matt O'Hanlon,SR,S,14,2,19,0.14
12,Sean Fisher,FR,LB,14,2,5,0.14
13,Latravis Washington,JR,QB,6,1,4,0.17
14,Rickey Thenarse,SR,S,4,1,2,0.25
15,Baker Steinkuhler,FR,DT,12,1,2,0.08
16,Colton Koehler,SR,LB,4,1,1,0.25
17,Will Compton,FR,LB,13,0.5,2,0.04
18,Larry Asante,SR,S,14,0.5,2,0.04
,Total,,,14,93,419,6.64
,Opponents,,,14,70,252,5
