,Name,Yr,Pos,G,Solo,Assisted,Total,Total/G
1,Ndamukong Suh,SR,DT,14,52,33,85,6.07
2,Phillip Dillard,SR,LB,12,45,38,83,6.92
3,Larry Asante,SR,S,14,42,37,79,5.64
4,Jared Crick,SO,DT,14,31,42,73,5.21
5,Matt O'Hanlon,SR,S,14,39,30,69,4.93
6,Prince Amukamara,JR,CB,14,41,23,64,4.57
7,Barry Turner,SR,DE,14,28,23,51,3.64
8,Pierre Allen,JR,DE,14,18,32,50,3.57
9,Dejon Gomes,JR,CB,13,26,20,46,3.54
10,Eric Hagg,JR,S,14,30,10,40,2.86
11,Will Compton,FR,LB,13,17,23,40,3.08
12,Sean Fisher,FR,LB,14,10,25,35,2.5
13,Alfonzo Dennard,SO,CB,13,20,10,30,2.31
14,Cameron Meredith,FR,DE,14,13,8,21,1.5
15,Baker Steinkuhler,FR,DT,12,6,11,17,1.42
16,P.J. Smith,FR,S,14,8,7,15,1.07
17,Eric Martin,FR,LB,14,8,7,15,1.07
18,Anthony West,JR,CB,13,9,2,11,0.85
19,Rickey Thenarse,SR,S,4,3,8,11,2.75
20,Graham Stoddard,FR,LB,13,7,3,10,0.77
21,Blake Lawrence,JR,LB,3,6,4,10,3.33
22,Mathew May,SO,LB,14,1,9,10,0.71
23,Austin Cassidy,SO,S,12,6,3,9,0.75
24,Lance Thorell,SO,CB,14,4,3,7,0.5
25,Colton Koehler,SR,LB,4,2,3,5,1.25
26,Mike Hays,SO,FB,13,2,3,5,0.38
27,Anthony Blue,SO,CB,10,4,0,4,0.4
28,Niles Paul,JR,WR,14,4,0,4,0.29
29,Jase Dean,FR,CB,5,3,1,4,0.8
30,Justin Blatchford,FR,CB,11,3,0,3,0.27
31,Josh Williams,FR,DE,3,2,1,3,1
32,Thomas Grove,JR,LB,12,1,2,3,0.25
33,Faron Klingelhoefer,FR,DT,2,1,1,2,1
34,Terrence Moore,SO,DT,4,1,1,2,0.5
35,Latravis Washington,JR,QB,6,1,1,2,0.33
36,Alex Henery,JR,PK,14,1,1,2,0.14
37,David Harvey,SR,DE,2,1,0,1,0.5
38,Courtney Osborne,FR,S,7,1,0,1,0.14
39,Team,,,8,1,0,1,0.13
40,Rex Burkhead,FR,RB,9,1,0,1,0.11
41,Ryan Hill,SO,TE,12,1,0,1,0.08
42,Justin Jackson,FR,DL,2,0,1,1,0.5
43,Wes Cammack,SR,WR,9,0,1,1,0.11
,Total,,,14,500,427,927,66.21
,Opponents,,,14,546,391,937,66.93
